tweet_id,created_at,text,favorties,retweets
1300807171563716609,2020-09-01 14:46:12,"What does it mean to be a business leader today?  As we face more unpredictable times ahead, many companies turn to… https://t.co/nQAlQCoKsb",1,0
1297878840962949123,2020-08-24 12:50:03,"Even as business settles into a new normal, people around the world are anxiously awaiting a vaccine. How can IT su… https://t.co/rw1b7egBAh",4,1
1297190299618480129,2020-08-22 15:14:02,"In the last decade, Dublin has become a #tech powerhouse. Learn why Smartbox, Europe's premiere gift experience tea… https://t.co/S0quRZutxJ",1,0
1295670781813428225,2020-08-18 10:36:01,"As companies struggled to adapt to #WFH, @Zoom was at the forefront of security conversations. Learn how the… https://t.co/F8rXQgi1Af",5,1
1293140158871752710,2020-08-11 11:00:13,"How do great ideas move through the ranks? Learn how the DevOps movement started at @gmfinancial with Matt McComas,… https://t.co/zRhK65P9uM",2,2
1289231616573939712,2020-07-31 16:09:04,All businesses around the world are facing monumental challenges; what happens when you add in the threat of a pric… https://t.co/nvXwSjiLEJ,3,0
1288474366829899777,2020-07-29 14:00:02,"As businesses and societies struggle under new pandemic rules, it may look prudent to put the digital business stra… https://t.co/CGAlqKf5Rl",2,0
1286660396745658368,2020-07-24 13:51:58,"RT @JMoocow: “As I see it, Enterprise IT and the ecosystem of 20th century vendors and partners who grew up around it will cease to exist.”…",0,2
1286338927201222656,2020-07-23 16:34:33,@jkriggins Right back at you! We're always interested in new thought leadership- let's connect🙌,1,0
1285862191304970241,2020-07-22 09:00:11,"How do leaders bring out the best in their teams? Join former captain of the Australian National Cricket team, Adam… https://t.co/Agz2cgFVks",3,0
1285587888403603458,2020-07-21 14:50:12,"With #technology ever advancing, #leadership must always be ready to adapt. Read about the phases of the business l… https://t.co/K6P5uCpt0W",5,1
1284097524995887104,2020-07-17 12:08:01,Few industries have been harder hit by today’s crises than air and travel. Join #CloudCounsel host Aaron White and… https://t.co/ozqW7J8xRM,2,0
1283408530721198080,2020-07-15 14:30:12,"In countries with specific data sovereignty laws, how are companies moving workloads to public clouds? Learn from N… https://t.co/TFcjUMTbYR",2,0
1280964612960268294,2020-07-08 20:38:57,@PatrickNTNX @nutanix @MorganStanley @carlaannharris @BenGibson08 Hi Patrick! You can find the full recording is he… https://t.co/3Zfseg6EpZ,0,0
1280147044678750208,2020-07-06 14:30:14,"The natural and man-made disasters that have hit 
@Tokyo_gov throughout its history have underscored the city’s nee… https://t.co/zG9KdzeCAw",4,0
1278816754446340096,2020-07-02 22:24:08,@lcooney @joderita @carlaannharris Her books are an inspiration- we cannot think of anyone better to speak on leadership in unstable times!,2,0
1278801931163574278,2020-07-02 21:25:14,"One might call us a ""Carla's Pearls"" connoisseur- suddenly Mondays don't look too bad 😎 https://t.co/v3XDMYacUH",5,0
1278034376249552901,2020-06-30 18:35:14,"In tough times, how do leaders find the support they need? Learn how to build an executive support network from… https://t.co/Z5fnJ6d8tH",9,0
1278034286151524354,2020-06-30 18:34:53,"Around 70% of senior management view IT primarily as support, yet 4/5 CIOs influence business strategy. So how can… https://t.co/Rz8JauXfai",5,0
1277593469813473286,2020-06-29 13:23:14,RT @wforceorg: Hear our Founder @Art_Langer speak on @CXO_Focus about the impact of #COVID19 on talent and the solutions WOS is offering to…,0,1
1275204425964011521,2020-06-22 23:10:01,Looking for insights on what the future of work will look like? Join @Nutanix’s @mbkumar as she hosts @Ford's… https://t.co/iGxbm54lAI,7,5
1272669981772255233,2020-06-15 23:19:03,Singapore has established itself as a standard-bearer for smart city development. So what makes this sovereign city… https://t.co/bPtE82fmpY,7,5
1271585831854264320,2020-06-12 23:31:01,"At its heart, #socialphysics has two preoccupations: Ideation and collaboration, according to @alex_pentland, direc… https://t.co/oHvaRUhLel",3,2
1270442800912482306,2020-06-09 19:49:02,Does flexibility matter when you're building a tech estate? We certainly think so. Join @hovisbakery's #CIO-recogni… https://t.co/T7cT9K3sBa,4,1
1270066097971134466,2020-06-08 18:52:09,"According to Accenture, 34% of companies see IT as a main driver of innovation- down from 71% two years ago. If IT… https://t.co/6pjEhGB1xU",2,0
1268968587202646021,2020-06-05 18:11:02,Over 50% of respondents in a CIO-led #IDC study on digital transformation had automation ambitions for their organi… https://t.co/vxQRK8iiJZ,2,0
1268270485491585025,2020-06-03 19:57:01,"""I never lose; I win or I learn.""
Join us tomorrow at 4pm BST as Rugby World Cup-winning coach, Sir Clive Woodward,… https://t.co/7MCJgHniZe",4,1
1268179743641350144,2020-06-03 13:56:27,"RT @dheeraj: .@Nutanix and I stand in solidarity with the Black community against hate, racism, and injustice.
We are here to listen and se…",0,95
1267518287056945156,2020-06-01 18:08:03,"Frankfurt is a smart city on the rise, gaining international attention for its smart programs and blockchain ecosys… https://t.co/xhPWsl9v5b",3,2
1266410277236604928,2020-05-29 16:45:13,"""We ... wanted to create the future in a new, fresh way that both challenges the norm, but also works in the Carlsb… https://t.co/oWZquAsUvw",2,0
