tweet_id,created_at,text,favorties,retweets
1292917035530432514,2020-08-10 20:13:37,"What's the deal with #edgecomputing? Local or #cloud-based? Answer all your questions with our new ""Edge Computing… https://t.co/pCud4TQCj8",6,6
1278830224617193473,2020-07-02 23:17:39,"RT @nutanix: #IoT is moving the focus away from machines serving humans to machines serving machines, and experts @JessGroopman &amp; @SatyamVa…",0,8
1278030934340702208,2020-06-30 18:21:34,"In tough times, how do leaders find the support they need? Learn how to build an executive support network from… https://t.co/YIUSjXXBFc",6,1
1260274105275858949,2020-05-12 18:22:16,"How much do we believe in democratizing #IoT? We built an #app library, added built-in #edge #data, made a sensor a… https://t.co/BnQz1A9KxM",5,3
1258462148021411843,2020-05-07 18:22:11,"Everything is ready- your #IT is solid, your #OT smooth. There's just one thing missing to really bring change to y… https://t.co/c8zt4fH5mY",2,1
1257724336582074368,2020-05-05 17:30:23,"1. Realize you're buried under a mountain of data.
2. Employ Xi IoT to free up your time.
3. FREEDOM 👏 👏 👏
Want to… https://t.co/XM4CWFIbwo",2,1
1254810057289711616,2020-04-27 16:30:05,"Manufacturing is changing fast, and so are #IoT use-cases. Learn how to build #SmartWarehouse applications, such as… https://t.co/egGryR7NM4",7,7
1253488330248986625,2020-04-24 00:58:01,"Take control of your #IoT operations. Using #Nutanix Xi IoT means real-time analytics, freedom of choice, and trans… https://t.co/9Gjgy0C5j6",6,5
1253139064833875969,2020-04-23 01:50:09,Happy 50th anniversary of Earth day! How can you use data and AI to protect your environment?… https://t.co/L5LNZ0RUVz,3,1
1252740152977391622,2020-04-21 23:25:01,"Smart retail is facing more challenges than ever. Learn how IoT systems can support supply chain operations, invent… https://t.co/o6HAuIfN8J",4,2
1252390393875853322,2020-04-21 00:15:12,#IoT integration can be confusing. Good thing you're not in it alone. Check out this in-depth look at managing your… https://t.co/voe3F9LFRb,7,5
1250896782596476929,2020-04-16 21:20:08,Nutanix IoT is like a good toolset- you can take it anywhere. Check out what we're doing in your industry:… https://t.co/UqA1fZPg5C,8,6
1250602062523621376,2020-04-16 01:49:01,"Managing operation technology can be tricky, but we're trying to make it easier. See how we're helping your industr… https://t.co/KV1w07wQrY",2,0
1250237412623765505,2020-04-15 01:40:02,How can #IoT improve #telecom operations? What is #MEC? Why does it matter? Learn how #IoT is coming to your teleco… https://t.co/M7MnPxDItR,4,2
1250066397155164162,2020-04-14 14:20:28,"RT @nutanix: Telcos are experiencing a once-in-a-lifetime opportunity to create new, value-added services at the edge. Nutanix’s @SatyamVag…",0,7
1249854421518909448,2020-04-14 00:18:09,"Supply chains are changing fast, and so are we. Take an inside look at how we're working with @Hardisgroup to make… https://t.co/GIEXB5Vvu0",4,2
1248766489731137543,2020-04-11 00:15:06,"What's the deal with #edge computing? Local or #cloud-based? Bring all of your questions to our FAQ, and see what e… https://t.co/E0rGX2Z6f9",3,1
1248410181492281345,2020-04-10 00:39:16,Big questions deserve big answers. Learn how #IoT and #edgecomputing are creating change: https://t.co/TtfxzqD9vC https://t.co/ekYMq9IHlD,2,1
1248065098612162560,2020-04-09 01:48:02,"Analytics are easier with pre-built #AI models, a free #data sensor and an intuitive platform. Learn how to create… https://t.co/9grgdscbLi",2,0
1247897274438443013,2020-04-08 14:41:09,"RT @TriciaKovach: Since the discovery of #COVID19, technology has been imperative to fighting the virus. Find out how #IoT, #AI and superco…",0,2
1247634287106678787,2020-04-07 21:16:08,"3 things that make #IoT successful: Good planning, listening to data, and  scalability. Test your IoT system with a… https://t.co/v8D2oA8HGe",1,2
1247519648435888128,2020-04-07 13:40:36,RT @ReflexLogistics: 📽👁 Check out how @SchneiderElec improved their warehouse processes using our #Computer #Vision and #Artificial #Intell…,0,4
1247322200736178176,2020-04-07 00:36:01,"Why are many #IoT experts turning to #edgecomputing? Here's our top guide on how to find actionable insights, why… https://t.co/m7fJ1hgbXe",6,1
1246223730147196930,2020-04-03 23:51:05,What is your #data telling you? Learn how to build data pipelines for #IoT that give you the whole picture:… https://t.co/unDhYSwiCx,5,1
1245873156264472577,2020-04-03 00:38:02,Learn how to build your own #IoT system- take a two week trial and find actionable insights with our pre-built #AI… https://t.co/nVk4qZDIDo,3,3
1245726302545510400,2020-04-02 14:54:29,"RT @nutanix: Maximizing productivity with a powerful, high-performing #datacenter infrastructure and intelligent tech is a breeze with #Nut…",0,4
1245445937968881669,2020-04-01 20:20:25,"Looking for a new #data delivery service? Look no further than Cloud K-9, our newest development in #IoT:… https://t.co/MzoWxsDiVm",10,5
1245129756032581633,2020-03-31 23:24:01,"As cities change and adapt, #IoT solutions are finding new uses- such as traffic monitoring. Become a #smartcity en… https://t.co/WbZLkdKhe2",12,6
1244786761391394816,2020-03-31 00:41:05,Looking for an IP #camera to complete your #IoT setup? Look no further than your laptop. Start your journey to beco… https://t.co/DnAHX6JeY0,7,5
1244653489919340547,2020-03-30 15:51:31,RT @nutanix: Health and technology industry experts are relying on technology to respond to threats like COVID-19. Learn how artificial int…,0,4
1244630851452899329,2020-03-30 14:21:33,Got 10 minutes to spare? We can teach you how to use your phone as an #IoT #data sensor in 7. 😉 https://t.co/z4Qaw6PCEm,1,2
1243692284090122246,2020-03-28 00:12:01,"Take control of your #IoT operations. Using #Nutanix Xi IoT means real-time analytics, freedom of choice, and trans… https://t.co/nnxl1Pmz8a",4,1
