tweet_id,created_at,text,favorties,retweets
1305612476722024450,2020-09-14 21:00:46,"Hard to believe #NEXTconf was just a week ago! Still buzzing from it. ⚡️
At #NCUG meetings, we will cover .NEXT hig… https://t.co/fFquQYVh2R",0,0
1305517975508836358,2020-09-14 14:45:15,#NCUG heads down South this week with our combined Charlotte &amp; South Carolina virtual meeting! Lots of new and exci… https://t.co/v5P7pekspd,1,0
1304522243863584769,2020-09-11 20:48:34,@NutanixPartners @Veeam Congratulations @Veeam!,1,0
1304521644161953793,2020-09-11 20:46:11,@AngeloLuciani Congrats on reaching 100k!!!,1,0
1304521504378335232,2020-09-11 20:45:38,"#NEXTconf did not disappoint. Thank you to all our customers, partners &amp; Nutanix family that made this one memorabl… https://t.co/qUhJHWJiLy",10,2
1303817877309415424,2020-09-09 22:09:40,Huge CONGRATULATIONS to the Customer Awards winners from #NEXTconf 🏆 #weloveourcustomers https://t.co/fGSwHikYz5,6,1
1303752296359026690,2020-09-09 17:49:04,"RT @nutanix: We’re bringing #hyperconvergence to a whole new level! With new advances to security monitoring, storage performance, virtual…",0,8
1303752226481946624,2020-09-09 17:48:47,@jharm73 Busted Brad!! Lol...that was so super fun.,2,0
1303717542838431744,2020-09-09 15:30:58,"#NEXTconf Day 2 launching in 30 minutes! 
Swing by the Community Lounge to earn points and chat with @AngeloLuciani… https://t.co/qB0iUxnWTf",5,4
1303466094665973760,2020-09-08 22:51:48,RT @nutanix: It’s a win-win! Get your free exam voucher for attending the first-ever Global .NEXT Digital Experience and be entered to win…,0,4
1303410300415221761,2020-09-08 19:10:06,"In between sessions go to the Solutions Expo, tap on Nutanix .NEXT Hub and visit one of the interactive booths like… https://t.co/DAtxBw0aKP",14,6
1303386854285127680,2020-09-08 17:36:56,"RT @dheeraj: HCI = Hyperconverved Infrastructure = Hybrid Cloud Infrastructure = HCI!

The more things change, the more they remain the sam…",0,48
1303356088931110913,2020-09-08 15:34:41,Super stoked for #NEXTconf to kick off in less than 30 minutes! https://t.co/9nYFdUe7u5,2,0
1298264836615233540,2020-08-25 14:23:52,"RT @nutanix: Guess what?! All .NEXT attendees at our Digital Experience on September 8th - 11th will receive a voucher to take the NCP, NCA…",0,9
1296908138017427457,2020-08-21 20:32:50,Don't forget to mark your calendars for next week's virtual #NCUG meetings! Central Ohio on 8/25 &amp; Seattle on 8/26… https://t.co/d6y2wWCQrs,1,1
1296504137694076928,2020-08-20 17:47:28,"18 days and counting until #NEXTconf 
✔️phenomenal line-up of speakers
✔️bountiful supply of break-out sessions
✔️l… https://t.co/t50e7CMnoo",4,0
1295787251432136710,2020-08-18 18:18:49,HAVE YOU HEARD? @josh_odgers is stopping by next week for our Seattle #NCUG meeting on 8/26 👏 He is discussing Busi… https://t.co/wrOPbA9N6d,1,0
1293233408831758336,2020-08-11 17:10:46,"Can't think of one good reason to not attend .NEXT, but a million reasons why you should!! Prime example of… https://t.co/Bx5rnkzEeZ",1,0
1293232502765568002,2020-08-11 17:07:10,💥Hot news!! #NutanixClusters💥 https://t.co/8saGunueWI,3,0
1291421299424854018,2020-08-06 17:10:05,"With #NEXTconf a little over a month away we're gearing up for a great time and TONS of #Nutanix knowledge 🎓 🧠 

In… https://t.co/e8kCAnFUiZ",13,1
1290328021430394881,2020-08-03 16:45:48,"🚨 Upcoming meeting announcement! 🚨 

Join us 8/11 for a virtual #NCUG meeting hosted by the Central Ohio team! We'v… https://t.co/GQpky293A0",1,0
1290126101449121797,2020-08-03 03:23:26,Quaran-summer greetings from Lake Tahoe. Wishing all the #NCUG fam a healthy and happy summer “break”… https://t.co/3xen70RsQF,12,0
1289246822079164423,2020-07-31 17:09:30,Happiest #SysadminDay to our #NCUG Community! https://t.co/N56sIg6wNg,20,6
1289246642248400896,2020-07-31 17:08:47,@selgan Cheers!,1,0
1285337624203284480,2020-07-20 22:15:44,Love seeing our Champs in action. Check out SLC Chapter Champ's convo with #Nutanix COO 🙌 https://t.co/sR5xujwgeU,1,0
1285336030191644674,2020-07-20 22:09:24,RT @nutanix: Feeling like you’re lost in tech translation? Sometimes the best thing you can do is just kick back and have a good laugh! Joi…,0,25
1284484991314006016,2020-07-18 13:47:41,"RT @sabrinasleung: Say No-uh more. I’m looking forward to this, one of the funniest people out there who doesn’t sugarcoat the realities of…",0,6
1284484721376927744,2020-07-18 13:46:36,@YassineAtBrahim 👍🏼👍🏼🤘🏼🤘🏼,1,0
1284484495639556097,2020-07-18 13:45:42,@Rhunt_NUG 💪🏼💪🏼,0,0
1284484275568627713,2020-07-18 13:44:50,@jfaisal1 👍🏼😎,0,0
1284484183499341829,2020-07-18 13:44:28,@Jon_Fraser01 @NutanixNation 👏🏼👏🏼,1,0
1284484035943763968,2020-07-18 13:43:53,@Anwar_Khan78 👍🏼👍🏼,0,0
1284483842070450177,2020-07-18 13:43:07,@jklc09 🌮🍹🏖😁😴,0,0
1284217390675275776,2020-07-17 20:04:20,RT @nutanix: 🚨 NCP 5.15 is here... And it has a new name! Introducing: Nutanix Certified Professional - Multicloud Infrastructure (NCP-MCI)…,0,7
1284217298635509760,2020-07-17 20:03:58,"RT @nutanix: #Nutanix CEO, @dheeraj, will be chatting with @jimcramer about how we’re enabling our customers to not just survive but thrive…",0,19
1284207810042003456,2020-07-17 19:26:15,@Anwar_Khan78 @NutanixEDU See you there!!,0,0
1284206729933225984,2020-07-17 19:21:58,"Happy Friday to our #NCUG community! Did you know today is 🌎 Emoji Day❔

Anyone have anything fun planned for the w… https://t.co/NIZMZ1czwN",11,2
1283777400313188352,2020-07-16 14:55:58,Interested in certification? The Nashville #NCUG team has you covered! Join us next week for an NCP Bootcamp from… https://t.co/RuHqZVlzNd,6,2
1283191373017972741,2020-07-15 00:07:18,"RT @NutanixEDU: 🚨  NCP 5.15 is here.. And it has a new name 🚨 

Nutanix Certified Professional - Multicloud Infrastructure (NCP-MCI)

This…",0,28
1282697910258368515,2020-07-13 15:26:27,This week #NCUG heads to (virtually) to Canada! 🇨🇦 The #Vancouver chapter will be covering topics including Nutanix… https://t.co/MSwIDOp7ZJ,2,1
1280606324930338816,2020-07-07 20:55:15,"If you're in the #NewEngland area, we've got something you don't want to miss: the 6th session of #NCUG Unplugged!… https://t.co/aMuLJwikLe",3,1
1280539111670120450,2020-07-07 16:28:10,"Want to keep up with your local #NCUG chapter? 

Head over to the NEXT Community, find your chapter &amp; click JOIN ➡️… https://t.co/EUKtRF5Vnn",8,4
1278348175695319040,2020-07-01 15:22:10,"Happening NOW: Seattle #NCUG Virtual Coffee Hour! ☕️

(Because we know coffee and community are two of the best ing… https://t.co/dtiayyHhSZ",2,0
1277663411623649281,2020-06-29 18:01:09,"It's Monday again &amp; we have your weekly line-up of #NCUG meetings! 

We've got 3 chances this week for you to find… https://t.co/i8CYGHX2aj",6,2
1276266000154013696,2020-06-25 21:28:20,"It's time for the June #NCUG Spotlight &amp; we have exciting news to share! This month, we are highlighting our NEW Ev… https://t.co/C0e2bFMK0G",9,2
1276264316317036544,2020-06-25 21:21:39,@josh_odgers Thanks for joining the gang at SoCal vNUG!,0,0
1276264123542548480,2020-06-25 21:20:53,#NPX #NutanixUniversity 👩🏻‍💻🧑‍💻👨🏽‍💻 https://t.co/ezHiHWfeNO,3,0
1276241721991606274,2020-06-25 19:51:52,"@jfaisal1 @Thorenx @TomakinDanielle Great turnout, great convos, great #NCUG chapter! 👏👏",2,0
1276200189817167872,2020-06-25 17:06:50,"Happening now: Calgary #NCUG meeting featuring Community Roundtable: Business during a Pandemic-New Strategies, Pai… https://t.co/k72nyZ33hb",6,2
1276189592060858369,2020-06-25 16:24:43,Loved seeing our #Nebraska peeps yesterday! https://t.co/6zsHroFkCO,3,0
1275550204725465088,2020-06-23 22:04:02,"Just under one hour until we kick-off round ✌️ of #SoCal virtual #NCUG meetings! There's still time to register, gr… https://t.co/3HIyZ2bU4C",2,0
1275539716633505794,2020-06-23 21:22:21,"It’s no fun to nerd out over IT alone. So don’t! 🤓 

Do you have questions about #NCUG groups? Want to find… https://t.co/Ba3R9azufk",6,4
1275134276644765697,2020-06-22 18:31:17,"Just announced: Seattle #NCUG Coffee Hour ☕️☕️

🗓️: July 1, 2020 
⏰: 8:00-9:00 AM PDT

Grab your favorite cup, fill… https://t.co/0IIgvMaC5w",3,3
1275097534818590726,2020-06-22 16:05:17,We've got a busy week ahead of us in the #NCUG world! We're covering a lot of ground (virtually) so if you're in an… https://t.co/mtpVi5m1qc,7,2
1274013560457367552,2020-06-19 16:17:57,👩🏽‍🎓👨🏾‍🎓👨‍🎓 https://t.co/4FaNES4hVW,6,0
1273960726693122055,2020-06-19 12:48:00,"@omahancug is coming your way! 

Wednesday, 6/24, we'll be hanging (virtually) w/ our #Nebraska crew for a #NCUG mt… https://t.co/qA7RuaVnnd",0,0
1273911907259424768,2020-06-19 09:34:01,Ireland &amp; Scotland #NCUG Champ @RonnieDOTie has lined up a fantastic agenda for next week's virtual meeting! Topics… https://t.co/EVLvXum7KI,4,2
1273790114502782978,2020-06-19 01:30:03,"Reminder! There is still time to register for our Singapore #NCUG meeting! Agenda includes a Frame demo, tech talk,… https://t.co/YDZTbHerff",3,0
1273702043228700678,2020-06-18 19:40:06,"🗣️🗣️In case you haven't heard, #SoCal is hosting a #NCUG virtual mtg next week &amp; @josh_odgers has been added to the… https://t.co/ph9oO5C9I5",9,3
1273677684862836742,2020-06-18 18:03:18,Looking forward to Norway's upcoming #NCUG meeting on 30 June! Register today and make plans to join us! https://t.co/wN0gg9pRaz,2,0
1273275915313741825,2020-06-17 15:26:49,"Just announced: Calgary is officially scheduled for a virtual #NCUG meeting! 

Can't wait to ""see"" you all next wee… https://t.co/Iyrp0TlO3U",2,0
1272567475234897920,2020-06-15 16:31:43,Welcome to a new week &amp; a new round of #NCUG mtgs! We've got ✌️ great mtgs this week &amp; we can't to hang w/ our favo… https://t.co/5PJ7JkhmNj,5,2
1271230520324689921,2020-06-11 23:59:09,"#Seattle is under way! Great turnout and excellent participation taking place right now 👍🏽👍🏽

Congrats on your firs… https://t.co/y98vFMajze",8,2
1270763531663749121,2020-06-10 17:03:30,"#Seattle are you ready?!? Tomorrow's the BIG day! 

We've got a great agenda lined up &amp; we're covering all the hot… https://t.co/8fTudvj59r",4,3
1270439688726339585,2020-06-09 19:36:40,"Thank you to everyone that hung out with us today during the Wisconsin #NCUG meeting! 

We agree-it was pretty cool… https://t.co/QHgKiVL8PH",5,1
1270439244276867075,2020-06-09 19:34:54,"@jfaisal1 @Thorenx Thanks for joining-good to ""see"" you!!",5,0
1270387946403901444,2020-06-09 16:11:03,"If you're in the #Michigan or #Indiana area &amp; are in need of some tech talk &amp; community, we've got you covered tomo… https://t.co/U1Ki9vDHCe",3,2
